transaction_id,day_id,product_id,game_minute,sale_price,unit_cost,wait_seconds,grinder_level,sign_level
1,1,2,45,4.5,1.1,2.71,1,0
2,1,2,66,4.5,1.1,3.28,1,0
3,1,1,81,3.0,0.7,2.09,1,0
4,1,3,127,5.25,1.6,4.51,1,0
5,1,1,141,3.0,0.7,3.85,1,0
6,1,2,163,4.5,1.1,3.63,1,0
7,1,2,185,4.5,1.1,3.08,1,1
8,1,1,199,3.0,0.7,2.13,1,1
9,1,3,235,5.25,1.6,5.13,1,1
10,1,4,278,5.75,1.9,8.05,1,1
11,1,1,293,3.0,0.7,7.69,1,1
12,1,1,307,3.0,0.7,7.64,1,1
13,1,1,322,3.0,0.7,7.52,1,1
14,1,2,344,4.5,1.1,7.02,1,1
15,1,1,358,3.0,0.7,6.39,1,1
16,1,4,401,5.75,1.9,9.83,1,1
17,1,1,416,3.0,0.7,8.69,1,1
18,1,1,431,3.0,0.7,7.3,1,1
19,1,2,452,4.5,1.1,8.37,1,1
20,1,1,467,3.0,0.7,7.82,1,1
21,2,3,55,5.25,1.6,4.07,2,1
22,2,1,68,3.0,0.7,3.07,2,1
23,2,2,87,4.5,1.1,2.98,2,1
24,2,3,120,5.25,1.6,4.5,2,1
25,2,1,133,3.0,0.7,3.09,2,1
26,2,1,146,3.0,0.7,1.87,2,1
27,2,2,174,4.5,1.1,2.45,2,1
28,2,2,195,4.5,1.1,2.45,2,1
29,2,1,208,3.0,0.7,2.43,2,1
30,2,1,221,3.0,0.7,2.28,2,1
31,2,2,240,4.5,1.1,3.26,2,1
32,2,2,260,4.5,1.1,3.87,2,1
33,2,1,273,3.0,0.7,3.57,2,1
34,2,2,292,4.5,1.1,3.8,2,1
35,2,1,305,3.0,0.7,2.65,2,1
36,2,3,338,5.25,1.6,4.9,2,1
37,2,1,351,3.0,0.7,3.93,2,1
38,2,2,371,4.5,1.1,4.44,2,1
39,2,2,390,4.5,1.1,4.52,2,2
40,2,4,429,5.75,1.9,6.9,2,2
41,2,3,462,5.25,1.6,8.59,2,2
42,3,1,35,3.0,0.7,1.64,2,2
43,3,2,58,4.5,1.1,2.43,2,2
44,3,1,72,3.0,0.7,1.64,2,2
45,3,2,92,4.5,1.1,2.45,2,2
46,3,1,105,3.0,0.7,2.44,2,2
47,3,1,118,3.0,0.7,2.6,2,2
48,3,2,138,4.5,1.1,2.7,2,2
49,3,4,178,5.75,1.9,4.87,2,2
50,3,2,198,4.5,1.1,5.67,2,2
51,3,3,230,5.25,1.6,6.94,2,2
52,3,4,269,5.75,1.9,9.4,2,2
53,3,3,302,5.25,1.6,10.78,2,2
54,3,2,321,4.5,1.1,10.52,2,2
55,3,4,360,5.75,1.9,13.07,2,2
56,3,3,393,5.25,1.6,14.93,2,2
57,3,1,406,3.0,0.7,13.92,2,2
58,3,1,419,3.0,0.7,13.61,2,2
59,3,1,432,3.0,0.7,12.57,2,2
60,3,1,445,3.0,0.7,11.37,2,2
61,3,1,457,3.0,0.7,11.02,3,2
62,4,2,40,4.5,1.1,2.2,3,2
63,4,1,52,3.0,0.7,1.6,3,2
64,4,3,83,5.25,1.6,3.65,3,2
65,4,2,101,4.5,1.1,2.93,3,2
66,4,3,130,5.25,1.6,4.67,3,2
67,4,3,159,5.25,1.6,6.52,3,2
68,4,4,194,5.75,1.9,9.2,3,2
69,4,3,224,5.25,1.6,11.13,3,2
70,4,1,235,3.0,0.7,10.06,3,2
71,4,2,253,4.5,1.1,10.34,3,2
72,4,1,265,3.0,0.7,9.68,3,2
73,4,3,294,5.25,1.6,10.52,3,2
74,4,3,323,5.25,1.6,11.73,3,2
75,4,2,341,4.5,1.1,12.63,3,2
76,4,1,353,3.0,0.7,12.57,3,2
77,4,2,370,4.5,1.1,12.25,3,2
78,4,3,400,5.25,1.6,13.45,3,2
79,4,2,417,4.5,1.1,13.71,3,2
80,4,3,447,5.25,1.6,15.67,3,2
81,4,2,464,4.5,1.1,16.07,3,2
82,4,1,476,3.0,0.7,15.65,3,2
83,5,3,47,5.25,1.6,3.65,3,3
84,5,2,65,4.5,1.1,3.62,3,3
85,5,4,100,5.75,1.9,5.51,3,3
86,5,1,112,3.0,0.7,5.13,3,3
87,5,1,124,3.0,0.7,5.34,3,3
88,5,4,159,5.75,1.9,8.0,3,3
89,5,3,188,5.25,1.6,9.43,3,3
90,5,4,223,5.75,1.9,12.31,3,3
91,5,1,235,3.0,0.7,11.54,3,3
92,5,1,247,3.0,0.7,11.46,3,3
93,5,3,276,5.25,1.6,13.0,3,3
94,5,1,288,3.0,0.7,12.73,3,3
95,5,3,317,5.25,1.6,14.19,3,3
96,5,3,346,5.25,1.6,15.27,3,3
97,5,1,358,3.0,0.7,15.42,3,3
98,5,2,376,4.5,1.1,15.87,3,3
99,5,2,393,4.5,1.1,16.39,3,3
100,5,1,405,3.0,0.7,15.74,3,3
101,5,2,423,4.5,1.1,15.47,3,3
102,5,2,440,4.5,1.1,16.07,3,3
103,5,1,452,3.0,0.7,15.19,3,3
104,6,1,27,3.0,0.7,1.47,3,3
105,6,1,43,3.0,0.7,1.48,3,3
106,6,1,57,3.0,0.7,1.34,4,3
107,6,2,81,4.5,1.1,2.0,4,3
108,6,1,96,3.0,0.7,1.34,4,3
109,6,1,114,3.0,0.7,1.33,4,3
110,6,3,145,5.25,1.6,3.3,4,3
111,6,2,161,4.5,1.1,3.31,4,3
112,6,3,187,5.25,1.6,4.09,4,3
113,6,1,198,3.0,0.7,3.75,4,3
114,6,1,209,3.0,0.7,2.71,4,3
115,6,2,225,4.5,1.1,2.56,4,3
116,6,3,251,5.25,1.6,3.9,4,3
117,6,1,262,3.0,0.7,2.87,4,3
118,6,2,278,4.5,1.1,2.27,4,3
119,6,1,291,3.0,0.7,1.34,4,3
120,6,2,316,4.5,1.1,1.99,4,3
121,6,4,350,5.75,1.9,3.96,4,3
122,6,1,361,3.0,0.7,2.55,4,3
123,6,1,372,3.0,0.7,1.98,4,3
124,6,2,390,4.5,1.1,1.98,4,3
125,6,3,420,5.25,1.6,3.3,4,3
126,6,2,436,4.5,1.1,3.46,4,3
127,6,1,446,3.0,0.7,3.5,4,3
128,6,1,457,3.0,0.7,2.5,4,3
129,6,1,468,3.0,0.7,1.83,4,3
130,7,4,45,5.75,1.9,3.95,4,3
131,7,2,61,4.5,1.1,4.71,4,3
132,7,2,77,4.5,1.1,5.01,4,3
133,7,3,103,5.25,1.6,5.8,4,3
134,7,2,119,4.5,1.1,5.28,4,3
135,7,1,130,3.0,0.7,4.82,4,3
136,7,1,141,3.0,0.7,4.57,4,3
137,7,2,156,4.5,1.1,5.15,4,3
138,7,2,172,4.5,1.1,5.47,4,3
139,7,1,183,3.0,0.7,4.9,4,3
140,7,3,209,5.25,1.6,6.12,4,3
141,7,1,220,3.0,0.7,5.91,4,3
142,7,2,236,4.5,1.1,5.3,4,4
143,7,1,246,3.0,0.7,4.7,4,4
144,7,1,257,3.0,0.7,3.63,4,4
145,7,2,273,4.5,1.1,4.21,4,4
146,7,2,289,4.5,1.1,4.99,4,4
147,7,2,305,4.5,1.1,5.2,4,4
148,7,1,315,3.0,0.7,4.85,4,4
149,7,2,331,4.5,1.1,5.14,4,4
150,7,1,342,3.0,0.7,4.73,4,4
151,7,2,358,4.5,1.1,4.33,4,4
152,7,3,384,5.25,1.6,6.37,4,4
153,7,1,395,3.0,0.7,5.42,4,4
154,7,3,421,5.25,1.6,7.28,4,4
155,7,3,448,5.25,1.6,8.44,4,4
156,7,2,464,4.5,1.1,8.12,4,4
157,8,2,26,4.5,1.1,1.98,4,4
158,8,4,58,5.75,1.9,4.63,4,4
159,8,2,73,4.5,1.1,4.99,4,4
160,8,3,100,5.25,1.6,6.93,4,4
161,8,1,110,3.0,0.7,6.7,4,4
162,8,2,126,4.5,1.1,7.3,4,4
163,8,1,137,3.0,0.7,6.56,4,4
164,8,4,168,5.75,1.9,8.5,4,4
165,8,1,179,3.0,0.7,7.63,4,4
166,8,1,190,3.0,0.7,7.58,4,4
167,8,2,206,4.5,1.1,8.26,4,4
168,8,2,222,4.5,1.1,8.19,4,4
169,8,2,237,4.5,1.1,8.51,4,4
170,8,1,248,3.0,0.7,7.86,4,4
171,8,1,259,3.0,0.7,7.12,4,4
172,8,1,269,3.0,0.7,6.9,4,4
173,8,3,296,5.25,1.6,7.69,4,4
174,8,3,322,5.25,1.6,8.7,4,4
175,8,3,348,5.25,1.6,10.33,4,4
176,8,3,372,5.25,1.6,12.04,5,4
177,8,1,382,3.0,0.7,10.73,5,4
178,8,1,391,3.0,0.7,10.67,5,4
179,8,4,420,5.75,1.9,12.63,5,4
180,8,1,430,3.0,0.7,12.17,5,4
181,8,2,444,4.5,1.1,12.14,5,4
182,8,2,458,4.5,1.1,12.23,5,4
183,8,2,472,4.5,1.1,11.83,5,4
184,9,1,19,3.0,0.7,1.2,5,4
185,9,2,35,4.5,1.1,1.8,5,4
186,9,2,53,4.5,1.1,1.8,5,4
187,9,1,64,3.0,0.7,1.21,5,4
188,9,1,80,3.0,0.7,1.21,5,4
189,9,3,110,5.25,1.6,2.95,5,4
190,9,2,124,4.5,1.1,2.52,5,4
191,9,1,133,3.0,0.7,1.96,5,4
192,9,1,143,3.0,0.7,1.94,5,4
193,9,4,174,5.75,1.9,3.57,5,4
194,9,4,203,5.75,1.9,5.17,5,4
195,9,2,217,4.5,1.1,5.39,5,4
196,9,2,231,4.5,1.1,5.43,5,4
197,9,4,260,5.75,1.9,6.82,5,4
198,9,3,284,5.25,1.6,8.21,5,4
199,9,2,298,4.5,1.1,7.56,5,4
200,9,1,308,3.0,0.7,6.8,5,4
201,9,1,317,3.0,0.7,5.77,5,4
202,9,2,332,4.5,1.1,5.24,5,4
203,9,3,355,5.25,1.6,6.8,5,4
204,9,1,365,3.0,0.7,5.67,5,4
205,9,2,379,4.5,1.1,5.49,5,4
206,9,2,394,4.5,1.1,5.13,5,4
207,9,3,417,5.25,1.6,6.86,5,4
208,9,1,427,3.0,0.7,6.44,5,4
209,9,1,436,3.0,0.7,5.27,5,4
210,9,2,451,4.5,1.1,4.9,5,4
211,9,1,461,3.0,0.7,4.86,5,4
212,10,2,27,4.5,1.1,1.8,5,4
213,10,1,42,3.0,0.7,1.21,5,5
214,10,3,71,5.25,1.6,2.98,5,5
215,10,1,80,3.0,0.7,2.96,5,5
216,10,1,90,3.0,0.7,2.26,5,5
217,10,3,113,5.25,1.6,4.15,5,5
218,10,1,123,3.0,0.7,3.33,5,5
219,10,2,137,4.5,1.1,3.97,5,5
220,10,1,147,3.0,0.7,4.08,5,5
221,10,3,171,5.25,1.6,5.47,5,5
222,10,3,195,5.25,1.6,6.25,5,5
223,10,1,204,3.0,0.7,5.92,5,5
224,10,2,219,4.5,1.1,5.84,5,5
225,10,1,228,3.0,0.7,5.0,5,5
226,10,3,252,5.25,1.6,6.28,5,5
227,10,1,262,3.0,0.7,6.32,5,5
228,10,1,271,3.0,0.7,5.84,5,5
229,10,2,286,4.5,1.1,6.28,5,5
230,10,1,295,3.0,0.7,6.14,5,5
231,10,3,319,5.25,1.6,7.54,5,5
232,10,1,329,3.0,0.7,6.57,5,5
233,10,1,338,3.0,0.7,5.79,5,5
234,10,1,348,3.0,0.7,4.9,5,5
235,10,3,372,5.25,1.6,6.4,5,5
236,10,1,381,3.0,0.7,5.89,5,5
237,10,4,410,5.75,1.9,8.05,5,5
238,10,2,424,4.5,1.1,8.41,5,5
239,10,4,453,5.75,1.9,9.91,5,5
240,10,3,476,5.25,1.6,10.74,5,5
