transaction_id,day_id,product_id,game_minute,sale_price,unit_cost,wait_seconds,grinder_level,sign_level
1,1,3,62,5.25,1.6,4.51,1,0
2,1,2,83,4.5,1.1,5.62,1,0
3,1,1,98,3.0,0.7,5.14,1,0
4,1,1,112,3.0,0.7,4.64,1,0
5,1,3,149,5.25,1.6,7.58,1,0
6,1,1,163,3.0,0.7,7.23,1,0
7,1,1,178,3.0,0.7,6.92,1,0
8,1,1,192,3.0,0.7,6.92,1,0
9,1,2,214,4.5,1.1,6.34,1,0
10,1,3,250,5.25,1.6,7.47,1,0
11,1,1,265,3.0,0.7,6.93,1,0
12,1,1,279,3.0,0.7,6.13,1,0
13,1,4,322,5.75,1.9,8.17,1,0
14,1,2,342,4.5,1.1,7.92,2,0
15,1,1,355,3.0,0.7,6.2,2,0
16,1,2,375,4.5,1.1,5.8,2,0
17,1,4,414,5.75,1.9,8.38,2,0
18,1,1,427,3.0,0.7,8.02,2,0
19,1,1,440,3.0,0.7,6.52,2,0
20,1,1,453,3.0,0.7,4.7,2,0
21,2,1,26,3.0,0.7,1.63,2,0
22,2,1,47,3.0,0.7,1.63,2,0
23,2,1,61,3.0,0.7,1.64,2,0
24,2,3,103,5.25,1.6,4.06,2,0
25,2,1,116,3.0,0.7,3.64,2,0
26,2,1,129,3.0,0.7,2.99,2,0
27,2,1,142,3.0,0.7,2.58,2,0
28,2,1,155,3.0,0.7,2.22,2,0
29,2,1,169,3.0,0.7,1.64,2,0
30,2,1,182,3.0,0.7,1.64,2,0
31,2,4,230,5.75,1.9,4.89,2,0
32,2,1,243,3.0,0.7,4.44,2,0
33,2,2,262,4.5,1.1,3.37,2,0
34,2,1,275,3.0,0.7,3.09,2,0
35,2,3,307,5.25,1.6,3.65,3,0
36,2,2,324,4.5,1.1,2.81,3,0
37,2,1,340,3.0,0.7,1.48,3,0
38,2,1,362,3.0,0.7,1.46,3,0
39,2,1,381,3.0,0.7,1.46,3,0
40,2,3,418,5.25,1.6,3.67,3,0
41,2,3,447,5.25,1.6,5.1,3,0
42,2,2,465,4.5,1.1,3.83,3,0
43,3,3,52,5.25,1.6,3.65,3,0
44,3,2,69,4.5,1.1,4.29,3,0
45,3,1,81,3.0,0.7,3.4,3,0
46,3,2,98,4.5,1.1,3.33,3,0
47,3,1,110,3.0,0.7,2.79,3,0
48,3,1,126,3.0,0.7,1.49,3,0
49,3,1,153,3.0,0.7,1.48,3,0
50,3,1,167,3.0,0.7,1.46,3,0
51,3,2,185,4.5,1.1,2.2,3,0
52,3,1,199,3.0,0.7,1.47,3,0
53,3,2,232,4.5,1.1,2.2,3,0
54,3,2,255,4.5,1.1,2.2,3,0
55,3,4,290,5.75,1.9,4.43,3,0
56,3,1,302,3.0,0.7,3.71,3,0
57,3,1,314,3.0,0.7,2.17,3,0
58,3,4,354,5.75,1.9,4.38,3,0
59,3,2,372,4.5,1.1,3.09,3,0
60,3,3,401,5.25,1.6,4.59,3,0
61,3,2,419,4.5,1.1,3.73,3,0
62,3,2,435,4.5,1.1,2.72,4,0
63,3,4,470,5.75,1.9,3.95,4,0
64,4,3,45,5.25,1.6,3.29,4,0
65,4,1,56,3.0,0.7,2.15,4,0
66,4,3,85,5.25,1.6,3.3,4,0
67,4,1,96,3.0,0.7,2.85,4,0
