transaction_id,day_id,product_id,game_minute,sale_price,unit_cost,wait_seconds,grinder_level,sign_level
1,1,3,67,5.25,1.6,5.0,0,1
2,1,2,91,4.5,1.1,5.36,0,1
3,1,3,131,5.25,1.6,8.84,0,1
4,1,3,171,5.25,1.6,10.77,0,1
5,1,3,211,5.25,1.6,12.96,0,1
6,1,3,251,5.25,1.6,14.96,0,1
7,1,1,267,3.0,0.7,15.29,0,1
8,1,1,284,3.0,0.7,14.9,0,1
9,1,1,300,3.0,0.7,14.5,0,1
10,1,1,316,3.0,0.7,14.76,0,1
11,1,2,340,4.5,1.1,14.86,0,1
12,1,2,364,4.5,1.1,14.87,0,1
13,1,2,388,4.5,1.1,14.79,0,1
14,1,1,404,3.0,0.7,14.14,0,1
15,1,1,420,3.0,0.7,14.01,0,1
16,1,1,436,3.0,0.7,13.52,0,1
17,1,1,453,3.0,0.7,13.45,0,1
18,1,2,477,4.5,1.1,13.7,0,1
19,2,1,30,3.0,0.7,2.0,0,2
20,2,1,46,3.0,0.7,2.39,0,2
21,2,3,87,5.25,1.6,5.02,0,2
22,2,2,111,4.5,1.1,5.43,0,2
23,2,2,135,4.5,1.1,7.11,0,2
24,2,1,151,3.0,0.7,7.0,0,2
25,2,3,191,5.25,1.6,9.43,0,2
26,2,2,216,4.5,1.1,9.72,0,2
27,2,4,264,5.75,1.9,13.86,0,2
28,2,1,280,3.0,0.7,13.82,0,2
29,2,4,328,5.75,1.9,17.44,0,2
30,2,3,368,5.25,1.6,20.41,0,2
31,2,1,384,3.0,0.7,20.52,0,2
32,2,1,401,3.0,0.7,20.96,0,2
33,2,3,441,5.25,1.6,23.75,0,2
34,3,2,35,4.5,1.1,3.03,0,2
35,3,2,60,4.5,1.1,4.71,0,2
36,3,1,76,3.0,0.7,4.87,0,2
37,3,3,116,5.25,1.6,7.84,0,2
38,3,2,140,4.5,1.1,8.13,0,2
39,3,2,164,4.5,1.1,9.43,0,2
40,3,1,180,3.0,0.7,8.76,0,2
41,3,4,228,5.75,1.9,12.89,0,2
42,3,1,245,3.0,0.7,12.47,0,2
43,3,1,261,3.0,0.7,12.0,0,2
44,3,2,285,4.5,1.1,12.91,0,3
45,3,1,301,3.0,0.7,12.28,0,3
46,3,3,341,5.25,1.6,15.24,0,3
47,3,3,381,5.25,1.6,19.02,0,3
48,3,3,421,5.25,1.6,22.54,0,3
49,3,1,437,3.0,0.7,23.29,0,3
50,3,2,462,4.5,1.1,24.77,0,3
51,4,2,34,4.5,1.1,3.03,0,3
52,4,3,74,5.25,1.6,6.29,0,3
53,4,1,90,3.0,0.7,6.47,0,3
54,4,2,114,4.5,1.1,8.22,0,3
55,4,2,138,4.5,1.1,8.67,0,3
56,4,1,154,3.0,0.7,8.58,0,3
57,4,3,195,5.25,1.6,12.23,0,3
58,4,1,211,3.0,0.7,11.5,0,3
59,4,3,251,5.25,1.6,14.4,0,3
60,4,1,267,3.0,0.7,14.62,0,3
61,4,1,283,3.0,0.7,14.89,0,3
62,4,3,323,5.25,1.6,17.6,0,3
63,4,2,348,4.5,1.1,19.43,0,3
64,4,1,364,3.0,0.7,19.2,0,3
65,4,1,380,3.0,0.7,18.83,0,3
66,4,3,420,5.25,1.6,21.8,0,3
67,4,3,460,5.25,1.6,25.2,0,3
68,5,1,35,3.0,0.7,2.0,0,3
69,5,1,52,3.0,0.7,2.03,0,3
70,5,1,68,3.0,0.7,2.7,0,3
71,5,1,84,3.0,0.7,2.18,0,3
72,5,4,132,5.75,1.9,6.22,0,3
