transaction_id,day_id,product_id,game_minute,sale_price,unit_cost,wait_seconds,grinder_level,sign_level
1,1,2,43,4.5,1.1,3.03,0,0
2,1,1,59,3.0,0.7,3.48,0,0
3,1,2,83,4.5,1.1,4.78,0,0
4,1,1,99,3.0,0.7,4.89,0,0
5,1,4,147,5.75,1.9,8.62,0,0
6,1,2,171,4.5,1.1,9.86,0,0
7,1,1,187,3.0,0.7,9.99,0,0
8,1,2,211,4.5,1.1,10.43,0,0
9,1,4,260,5.75,1.9,13.96,0,0
10,1,2,284,4.5,1.1,14.75,0,0
11,1,3,324,5.25,1.6,17.3,0,0
12,1,4,372,5.75,1.9,21.26,0,0
13,1,4,420,5.75,1.9,24.27,0,0
14,1,3,460,5.25,1.6,26.35,0,0
15,1,1,476,3.0,0.7,24.98,0,0
16,2,4,63,5.75,1.9,6.0,0,0
17,2,3,103,5.25,1.6,7.75,0,0
18,2,1,119,3.0,0.7,7.27,0,0
19,2,1,135,3.0,0.7,7.32,0,0
20,2,4,183,5.75,1.9,10.64,0,0
21,2,1,199,3.0,0.7,9.47,0,0
22,2,3,239,5.25,1.6,11.93,0,0
23,2,2,263,4.5,1.1,13.43,0,0
24,2,3,303,5.25,1.6,16.57,0,0
25,2,1,319,3.0,0.7,16.61,0,0
26,2,2,343,4.5,1.1,16.82,0,0
27,2,2,367,4.5,1.1,17.13,0,0
28,2,3,407,5.25,1.6,19.98,0,0
29,2,3,448,5.25,1.6,21.8,0,0
30,2,2,472,4.5,1.1,22.13,0,0
31,3,1,41,3.0,0.7,2.03,0,0
32,3,1,61,3.0,0.7,2.02,0,0
33,3,1,77,3.0,0.7,2.48,0,0
34,3,1,94,3.0,0.7,2.12,0,0
35,3,1,115,3.0,0.7,2.01,0,0
36,3,3,156,5.25,1.6,5.23,0,0
37,3,4,204,5.75,1.9,7.71,0,0
38,3,3,244,5.25,1.6,10.97,0,0
39,3,2,268,4.5,1.1,11.9,0,0
40,3,1,284,3.0,0.7,10.4,0,0
41,3,3,324,5.25,1.6,13.53,0,0
42,3,1,340,3.0,0.7,12.5,0,0
43,3,2,364,4.5,1.1,13.03,0,0
44,3,1,380,3.0,0.7,12.11,0,0
45,3,3,421,5.25,1.6,15.4,0,0
46,3,4,469,5.75,1.9,19.67,0,0
47,4,4,74,5.75,1.9,6.0,0,0
48,4,3,114,5.25,1.6,8.78,0,0
49,4,1,130,3.0,0.7,7.97,0,0
50,4,1,146,3.0,0.7,7.93,0,0
51,4,1,162,3.0,0.7,7.23,0,0
52,4,3,202,5.25,1.6,9.04,0,0
53,4,3,242,5.25,1.6,11.72,0,0
54,4,1,258,3.0,0.7,10.7,0,0
55,4,4,307,5.75,1.9,13.96,0,0
56,4,2,331,4.5,1.1,14.31,0,0
57,4,1,347,3.0,0.7,13.48,0,0
58,4,1,363,3.0,0.7,13.4,0,0
59,4,4,411,5.75,1.9,15.94,0,0
60,4,1,427,3.0,0.7,16.19,0,0
61,4,2,452,4.5,1.1,17.38,0,0
62,5,1,29,3.0,0.7,2.0,0,0
63,5,1,46,3.0,0.7,2.06,0,0
64,5,2,74,4.5,1.1,3.0,0,0
65,5,3,115,5.25,1.6,5.57,0,0
66,5,4,163,5.75,1.9,9.36,0,0
67,5,2,187,4.5,1.1,9.7,0,0
68,5,1,203,3.0,0.7,9.86,0,0
69,5,2,227,4.5,1.1,10.84,0,0
70,5,3,267,5.25,1.6,13.32,0,0
71,5,3,307,5.25,1.6,15.47,0,0
72,5,1,323,3.0,0.7,15.4,0,0
73,5,1,340,3.0,0.7,14.83,0,0
74,5,1,356,3.0,0.7,14.22,0,0
75,5,3,396,5.25,1.6,16.35,0,0
76,5,1,412,3.0,0.7,15.33,0,0
77,5,2,436,4.5,1.1,14.85,0,0
78,5,2,460,4.5,1.1,15.73,0,0
